종목코드,종목명,날짜,시작가,전일가,정적_거래량,시가총액,PER,EPS,52주최고,52주최저,종가,전일대비,외국인순매수,기관순매수,개인순매수,동적_거래량,시가총액_원,PER_숫자,EPS_숫자
005930,삼성전자,20250624,"61,500","60,500","11,713,338",357546100000000,11.7,5162.0,"88,800","49,900","60,500","2,500","+5,465,161","+1,857,835","-7,304,208","23,737,899",357546100000000,11.7,5162.0
000660,SK하이닉스,20250624,"289,000","278,500","2,904,852",209664700000000,8.07,35682.0,"291,500","144,700","278,500","19,000","+631,550","-317,387","-296,095","5,436,312",209664700000000,8.07,35682.0
207940,삼성바이오로직스,20250624,"1,000,000","1,004,000","34,159",71458700000000,55.85,17977.0,"1,209,000","722,000","1,004,000","12,000","+13,044","-10,851","-2,376","71,516",71458700000000,55.85,17977.0
373220,LG에너지솔루션,20250624,"301,500","300,500","102,988",69498000000000,,4974.0,"444,000","266,000","300,500","6,500","+31,141","-1,999","-27,749","275,626",69498000000000,,4974.0
035420,NAVER,20250624,"282,500","290,500","1,855,263",44639600000000,24.6,11452.0,"295,000","151,100","290,500",500,"-1,584,693","+126,357","+1,417,832","4,326,501",44639600000000,24.6,11452.0
005380,현대차,20250624,"206,500","206,000","1,221,543",43920500000000,4.68,45880.0,"299,500","175,800","206,000","4,500","+52,627","-75,514","+30,137","718,116",43920500000000,4.68,45880.0
034020,두산에너빌리티,20250624,"68,400","68,900","8,359,922",42981700000000,,159.0,"71,400","15,150","68,900",300,"-1,997,170","-431,918","+2,406,239","13,780,632",42981700000000,,159.0
105560,KB금융,20250624,"113,000","112,300","810,358",41846400000000,7.61,14416.0,"114,800","69,300","112,300","4,700","+179,377","-19,981","-159,228","1,406,979",41846400000000,7.61,14416.0
012450,한화에어로스페이스,20250624,"897,000","895,000","165,121",40958500000000,17.51,49447.0,"987,000","230,724","895,000","-24,000","-52,029","+22,603","+32,554","281,041",40958500000000,17.51,49447.0
329180,HD현대중공업,20250624,"469,500","463,500","151,525",40391800000000,46.05,9880.0,"476,000","147,400","463,500","30,000","+174,084","-7,436","-165,088","527,930",40391800000000,46.05,9880.0
005935,삼성전자우,20250624,"50,200","49,400","1,024,203",40390700000000,9.59,5162.0,"70,300","41,700","49,400","1,600","+315,005","+103,441","-429,986","2,933,899",40390700000000,9.59,5162.0
000270,기아,20250624,"97,500","96,900","1,969,800",39727500000000,4.26,23440.0,"132,300","81,300","96,900","1,000","-26,888","+39,852","-11,615","911,752",39727500000000,4.26,23440.0
068270,셀트리온,20250624,"161,300","161,200","231,516",35610400000000,74.09,2161.0,"194,109","144,866","161,200","2,200","+55,902","+36,757","-154,396","476,025",35610400000000,74.09,2161.0
035720,카카오,20250624,"69,400","70,400","4,019,812",30349400000000,198.55,346.0,"71,600","32,550","70,400","2,800","+267,851","+744,212","-1,088,545","12,083,420",30349400000000,198.55,346.0
055550,신한지주,20250624,"61,100","61,000","2,106,851",29849700000000,6.61,9108.0,"64,600","42,500","61,000",900,"+495,644","+188,105","-118,712","1,615,168",29849700000000,6.61,9108.0
028260,삼성물산,20250624,"163,500","162,500","328,330",28148100000000,13.22,12523.0,"174,500","108,100","162,500",900,"-29,346","-41,945","+67,787","549,331",28148100000000,13.22,12523.0
012330,현대모비스,20250624,"285,500","285,000","221,138",27033700000000,6.49,45380.0,"302,000","200,500","285,000","4,500","+17,938","-8,619","-9,404","191,281",27033700000000,6.49,45380.0
009540,HD한국조선해양,20250624,"393,500","392,000","191,943",26787600000000,18.11,20895.0,"398,500","148,800","392,000","16,500","+55,518","+1,407","-56,382","289,076",26787600000000,18.11,20895.0
042660,한화오션,20250624,"88,400","87,400","1,785,638",25815300000000,37.26,2261.0,"95,800","25,400","87,400","1,100","-235,478","+120,849","+82,480","2,679,955",25815300000000,37.26,2261.0
032830,삼성생명,20250624,"130,100","128,500","150,659",25720000000000,12.13,10600.0,"133,400","73,300","128,500","4,100","+61,778","-12,237","-40,660","484,144",25720000000000,12.13,10600.0
402340,SK스퀘어,20250624,"192,500","181,000","517,600",25686400000000,5.23,37069.0,"199,800","67,600","181,000","17,300","-102,131","+65,211","+30,086","920,842",25686400000000,5.23,37069.0
015760,한국전력,20250624,"38,400","34,100","14,196,935",24137800000000,4.59,8191.0,"38,550","18,190","34,100","5,850","+1,742,616","+1,651,464","-2,958,151","19,728,999",24137800000000,4.59,8191.0
011200,HMM,20250624,"23,100","22,800","1,192,635",23575900000000,4.53,5073.0,"25,350","15,570","22,800",-750,"-30,549","-192,304","+229,761","3,052,164",23575900000000,4.53,5073.0
086790,하나금융지주,20250624,"82,300","82,300","527,029",23546700000000,6.24,13252.0,"83,500","51,500","82,300","2,500","+93,253","-59,467","-32,272","860,605",23546700000000,6.24,13252.0
005490,POSCO홀딩스,20250624,"267,000","263,000","212,657",21528200000000,25.86,10286.0,"397,000","227,500","263,000","9,500","+99,988","+15,400","-113,245","305,296",21528200000000,25.86,10286.0
064350,현대로템,20250624,"198,900","200,000","1,036,828",21086300000000,41.42,4664.0,"220,500","37,450","200,000","-14,000","-30,979","-202,935","+226,934","1,683,634",21086300000000,41.42,4664.0
138040,메리츠금융지주,20250624,"113,200","114,100","170,373",20467600000000,9.31,12216.0,"127,400","73,500","114,100","1,700","-38,712","+65,981","-25,323","356,760",20467600000000,9.31,12216.0
000810,삼성화재,20250624,"447,000","444,000","52,173",20290900000000,11.26,39171.0,"466,000","324,000","444,000","18,500","+29,852","-10,019","-18,947","128,263",20290900000000,11.26,39171.0
